"PARM_CD","CASRN","PARM_SEQ_GRP_NM","PARM_SEQ_GRP_DS","PARM_NM","PARM_UNT_TX","PARM_DS","PARM_MEDIUM_TX","PARM_FRAC_TX","PARM_TEMP_TX","PARM_STAT_TX","PARM_TM_TX","PARM_WT_TX","PARM_SIZE_TX"
"80169","","Bed Sediment Characterization","Bed Sediment Characterization","Bed sediment <2mm, sieve dia","%","Bed sediment, sieve diameter, percent smaller than 2 millimeters","Sediment","Bed Sediment","","","","","< 2 mm"
"80165","","Bed Sediment Characterization","Bed Sediment Characterization","Bed sediment <0.125mm, sieve","%","Bed sediment, sieve diameter, percent smaller than 0.125 millimeters","Sediment","Bed Sediment","","","","","< 0.125 mm"
"80167","","Bed Sediment Characterization","Bed Sediment Characterization","Bed sediment <0.5mm, sieve di","%","Bed sediment, sieve diameter, percent smaller than 0.5 millimeters","Sediment","Bed Sediment","","","","","< 0.5 mm"
"84164","","Sample Information","Sample Information","Sampler type","code","Sampler type, code","","","","","","",""
"70950","","Biological","Biological","Biomass/Chlrphyl ratio, peri","None","Biomass to chlorophyll ratio, periphyton, number","Biological Tissue","","","","","",""
"00065","","Stream Measurements","Stream Measurements","Gage height","ft","Gage height, feet","","","","","","",""
"80166","","Bed Sediment Characterization","Bed Sediment Characterization","Bed sediment <0.25mm, sieve d","%","Bed sediment, sieve diameter, percent smaller than 0.25 millimeters","Sediment","Bed Sediment","","","","","< 0.25 mm"
"80168","","Bed Sediment Characterization","Bed Sediment Characterization","Bed sediment <1mm, sieve diam","%","Bed sediment, sieve diameter, percent smaller than 1 millimeter","Sediment","Bed Sediment","","","","","< 1 mm"
"00573","","Biological","Biological","Biomass, periphyton, dry wt","g/m2","Biomass, periphyton, dry weight, grams per square meter","Biological Tissue","","","","","Dry",""
"49954","","Biological","Biological","Periphyton biomass","g/m2","Biomass, periphyton, ash free dry mass, grams per square meter","Biological Tissue","","","","","Ash-Free Dry",""
"84182","","Sample Information","Sample Information","Bottle/bag sampler material","code","Bottle or bag sampler material (construction), code","","","","","","",""
"00681","","Carbon Measures","Carbon Measures","Organic carbon, wf","mg/l","Organic carbon, water, filtered, milligrams per liter","Water","Dissolved","","","","",""
"00010","","Water Parameters","Water Parameters","Temperature, water","deg C","Temperature, water, degrees Celsius","Water","","","","","",""
"00020","","Water Parameters","Water Parameters","Temperature, air","deg C","Temperature, air, degrees Celsius","Air","","","","","",""
"00095","","Water Parameters","Water Parameters","Specific cond at 25C","uS/cm @25C","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius","Water","Total","25 deg C","","","",""
"00300","7782-44-7","Water Parameters","Water Parameters","Dissolved oxygen","mg/l","Dissolved oxygen, water, unfiltered, milligrams per liter","Water","Dissolved","","","","",""
"00301","7782-44-7","Water Parameters","Water Parameters","Diss oxygen,%saturtn","% saturatn","Dissolved oxygen, water, unfiltered, percent of saturation","Water","Dissolved","","","","",""
"00400","","Water Parameters","Water Parameters","pH","std units","pH, water, unfiltered, field, standard units","Water","Total","","","","",""
"00605","","Nutrients","Nutrients","Organic nitrogen, wu","mg/l","Organic nitrogen, water, unfiltered, milligrams per liter as nitrogen","Water","Total","","","","",""
"00608","","Nutrients","Nutrients","Ammonia, wf","mg/l as N","Ammonia (NH3 + NH4+), water, filtered, milligrams per liter as nitrogen","Water","Dissolved","","","","",""
"00613","14797-65-0","Nutrients","Nutrients","Nitrite, wf","mg/l as N","Nitrite, water, filtered, milligrams per liter as nitrogen","Water","Dissolved","","","","",""
"00618","14797-55-8","Nutrients","Nutrients","Nitrate, wf","mg/l as N","Nitrate, water, filtered, milligrams per liter as nitrogen","Water","Dissolved","","","","",""
"00631","","Nutrients","Nutrients","NO3+NO2, wf","mg/l as N","Nitrate plus nitrite, water, filtered, milligrams per liter as nitrogen","Water","Dissolved","","","","",""
"00665","7723-14-0","Nutrients","Nutrients","Phosphorus, wu","mg/l as P","Phosphorus, water, unfiltered, milligrams per liter as phosphorus","Water","Total","","","","",""
"00671","14265-44-2","Nutrients","Nutrients","Orthophosphate, wf","mg/l as P","Orthophosphate, water, filtered, milligrams per liter as phosphorus","Water","Dissolved","","","","",""
"00915","7440-70-2","Inorganics, Major Ions","Inorganics, Major Ions","Calcium, wf","mg/l","Calcium, water, filtered, milligrams per liter","Water","Dissolved","","","","",""
"00925","7439-95-4","Inorganics, Major Ions","Inorganics, Major Ions","Magnesium, wf","mg/l","Magnesium, water, filtered, milligrams per liter","Water","Dissolved","","","","",""
"00930","7440-23-5","Inorganics, Major Ions","Inorganics, Major Ions","Sodium, wf","mg/l","Sodium, water, filtered, milligrams per liter","Water","Dissolved","","","","",""
"00931","","Inorganics, Major Ions","Inorganics, Major Ions","SAR, water","None","Sodium adsorption ratio (SAR), water, number","Water","","","","","",""
"00935","7440-09-7","Inorganics, Major Ions","Inorganics, Major Ions","Potassium, wf","mg/l","Potassium, water, filtered, milligrams per liter","Water","Dissolved","","","","",""
"00940","16887-00-6","Inorganics, Major Ions","Inorganics, Major Ions","Chloride, wf","mg/l","Chloride, water, filtered, milligrams per liter","Water","Dissolved","","","","",""
"00945","14808-79-8","Inorganics, Major Ions","Inorganics, Major Ions","Sulfate, wf","mg/l","Sulfate, water, filtered, milligrams per liter","Water","Dissolved","","","","",""
"62855","","Nutrients","Nutrients","Total nitrogen, wu","mg/l","Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, analytically determined, milligrams per liter","Water","Total","","","","",""
"66632","88671-89-0","Organics, Pesticides","Organics, Pesticides","Myclobutanil, wf","ng/l","Myclobutanil, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68426","138261-41-3","Organics, Pesticides","Organics, Pesticides","Imidacloprid, wf","ng/l","Imidacloprid, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"70331","","Water Parameters","Water Parameters","Sus sed <0.0625mm,sd","%","Suspended sediment, sieve diameter, percent smaller than 0.0625 millimeters","Sediment","Suspended","","","","","< 0.0625 mm"
"80154","","Water Parameters","Water Parameters","Suspnd sedmnt conc","mg/l","Suspended sediment concentration, milligrams per liter","Water","Suspended","","","","",""
"62649","1066-51-9","Organics, Pesticides","Organics, Pesticides","AMPA, w,gf<0.7u","ug/l","Aminomethylphosphonic acid, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter","Water","Dissolved","","","","",""
